m,TagName,
"2008-07-01 00:00:00","c#","3"
"2008-08-01 00:00:00","assembly","8"
"2008-08-01 00:00:00","javascript","163"
"2008-08-01 00:00:00","c","84"
"2008-08-01 00:00:00","python","124"
"2008-08-01 00:00:00","perl","28"
"2008-08-01 00:00:00","c#","508"
"2008-08-01 00:00:00","c++","164"
"2008-08-01 00:00:00","java","222"
"2008-08-01 00:00:00","delphi","14"
"2008-08-01 00:00:00","ruby","71"
"2008-08-01 00:00:00","php","161"
"2008-09-01 00:00:00","c","320"
"2008-09-01 00:00:00","delphi","105"
"2008-09-01 00:00:00","assembly","28"
"2008-09-01 00:00:00","javascript","639"
"2008-09-01 00:00:00","java","1136"
"2008-09-01 00:00:00","c#","1648"
"2008-09-01 00:00:00","perl","131"
"2008-09-01 00:00:00","python","540"
"2008-09-01 00:00:00","r","6"
"2008-09-01 00:00:00","c++","754"
"2008-09-01 00:00:00","php","480"
"2008-09-01 00:00:00","ruby","289"
"2008-10-01 00:00:00","delphi","112"
"2008-10-01 00:00:00","java","1154"
"2008-10-01 00:00:00","assembly","15"
"2008-10-01 00:00:00","c#","1989"
"2008-10-01 00:00:00","perl","127"
"2008-10-01 00:00:00","c","303"
"2008-10-01 00:00:00","php","615"
"2008-10-01 00:00:00","python","510"
"2008-10-01 00:00:00","javascript","726"
"2008-10-01 00:00:00","c++","810"
"2008-10-01 00:00:00","ruby","249"
"2008-11-01 00:00:00","assembly","17"
"2008-11-01 00:00:00","c#","1733"
"2008-11-01 00:00:00","python","452"
"2008-11-01 00:00:00","c","259"
"2008-11-01 00:00:00","java","958"
"2008-11-01 00:00:00","delphi","141"
"2008-11-01 00:00:00","c++","734"
"2008-11-01 00:00:00","javascript","579"
"2008-11-01 00:00:00","perl","97"
"2008-11-01 00:00:00","php","503"
"2008-11-01 00:00:00","ruby","159"
"2008-11-01 00:00:00","r","1"
"2008-12-01 00:00:00","javascript","627"
"2008-12-01 00:00:00","assembly","17"
"2008-12-01 00:00:00","c","188"
"2008-12-01 00:00:00","c#","1597"
"2008-12-01 00:00:00","java","830"
"2008-12-01 00:00:00","php","481"
"2008-12-01 00:00:00","c++","632"
"2008-12-01 00:00:00","delphi","134"
"2008-12-01 00:00:00","r","1"
"2008-12-01 00:00:00","python","440"
"2008-12-01 00:00:00","perl","134"
"2008-12-01 00:00:00","ruby","161"
"2009-01-01 00:00:00","delphi","164"
"2009-01-01 00:00:00","r","8"
"2009-01-01 00:00:00","php","635"
"2009-01-01 00:00:00","java","1150"
"2009-01-01 00:00:00","c#","2378"
"2009-01-01 00:00:00","assembly","22"
"2009-01-01 00:00:00","c++","852"
"2009-01-01 00:00:00","c","321"
"2009-01-01 00:00:00","ruby","207"
"2009-01-01 00:00:00","perl","148"
"2009-01-01 00:00:00","swift","1"
"2009-01-01 00:00:00","javascript","792"
"2009-01-01 00:00:00","python","631"
"2009-02-01 00:00:00","javascript","948"
"2009-02-01 00:00:00","perl","165"
"2009-02-01 00:00:00","python","630"
"2009-02-01 00:00:00","c","332"
"2009-02-01 00:00:00","c#","2599"
"2009-02-01 00:00:00","assembly","37"
"2009-02-01 00:00:00","java","1208"
"2009-02-01 00:00:00","c++","844"
"2009-02-01 00:00:00","r","9"
"2009-02-01 00:00:00","ruby","287"
"2009-02-01 00:00:00","delphi","167"
"2009-02-01 00:00:00","swift","1"
"2009-02-01 00:00:00","php","767"
"2009-03-01 00:00:00","assembly","24"
"2009-03-01 00:00:00","javascript","1006"
"2009-03-01 00:00:00","c#","3162"
"2009-03-01 00:00:00","c","431"
"2009-03-01 00:00:00","java","1438"
"2009-03-01 00:00:00","php","902"
"2009-03-01 00:00:00","c++","1052"
"2009-03-01 00:00:00","r","4"
"2009-03-01 00:00:00","perl","138"
"2009-03-01 00:00:00","delphi","162"
"2009-03-01 00:00:00","ruby","330"
"2009-03-01 00:00:00","python","765"
"2009-03-01 00:00:00","swift","1"
"2009-04-01 00:00:00","assembly","50"
"2009-04-01 00:00:00","javascript","1049"
"2009-04-01 00:00:00","python","768"
"2009-04-01 00:00:00","java","1534"
"2009-04-01 00:00:00","delphi","185"
"2009-04-01 00:00:00","c++","1019"
"2009-04-01 00:00:00","c#","3314"
"2009-04-01 00:00:00","c","457"
"2009-04-01 00:00:00","php","964"
"2009-04-01 00:00:00","perl","161"
"2009-04-01 00:00:00","ruby","358"
"2009-04-01 00:00:00","r","12"
"2009-05-01 00:00:00","javascript","1432"
"2009-05-01 00:00:00","assembly","47"
"2009-05-01 00:00:00","delphi","202"
"2009-05-01 00:00:00","c","480"
"2009-05-01 00:00:00","c#","3554"
"2009-05-01 00:00:00","python","999"
"2009-05-01 00:00:00","ruby","402"
"2009-05-01 00:00:00","java","1817"
"2009-05-01 00:00:00","c++","1216"
"2009-05-01 00:00:00","perl","196"
"2009-05-01 00:00:00","php","1178"
"2009-05-01 00:00:00","r","2"
"2009-05-01 00:00:00","swift","2"
"2009-06-01 00:00:00","c","502"
"2009-06-01 00:00:00","java","2113"
"2009-06-01 00:00:00","assembly","49"
"2009-06-01 00:00:00","delphi","222"
"2009-06-01 00:00:00","c++","1252"
"2009-06-01 00:00:00","javascript","1557"
"2009-06-01 00:00:00","perl","247"
"2009-06-01 00:00:00","c#","3880"
"2009-06-01 00:00:00","r","5"
"2009-06-01 00:00:00","php","1578"
"2009-06-01 00:00:00","ruby","432"
"2009-06-01 00:00:00","python","1043"
"2009-06-01 00:00:00","swift","1"
"2009-07-01 00:00:00","c#","4407"
"2009-07-01 00:00:00","assembly","32"
"2009-07-01 00:00:00","c++","1465"
"2009-07-01 00:00:00","python","1160"
"2009-07-01 00:00:00","java","2258"
"2009-07-01 00:00:00","perl","258"
"2009-07-01 00:00:00","c","540"
"2009-07-01 00:00:00","delphi","269"
"2009-07-01 00:00:00","javascript","1752"
"2009-07-01 00:00:00","r","51"
"2009-07-01 00:00:00","ruby","500"
"2009-07-01 00:00:00","php","2029"
"2009-08-01 00:00:00","assembly","48"
"2009-08-01 00:00:00","c","530"
"2009-08-01 00:00:00","delphi","246"
"2009-08-01 00:00:00","javascript","1856"
"2009-08-01 00:00:00","perl","251"
"2009-08-01 00:00:00","java","2191"
"2009-08-01 00:00:00","php","2186"
"2009-08-01 00:00:00","c#","4457"
"2009-08-01 00:00:00","r","47"
"2009-08-01 00:00:00","python","1138"
"2009-08-01 00:00:00","c++","1400"
"2009-08-01 00:00:00","ruby","485"
"2009-08-01 00:00:00","swift","2"
"2009-09-01 00:00:00","java","2262"
"2009-09-01 00:00:00","javascript","1755"
"2009-09-01 00:00:00","c#","4353"
"2009-09-01 00:00:00","c","574"
"2009-09-01 00:00:00","assembly","62"
"2009-09-01 00:00:00","php","2265"
"2009-09-01 00:00:00","c++","1463"
"2009-09-01 00:00:00","perl","250"
"2009-09-01 00:00:00","python","1166"
"2009-09-01 00:00:00","delphi","252"
"2009-09-01 00:00:00","ruby","477"
"2009-09-01 00:00:00","r","138"
"2009-09-01 00:00:00","swift","3"
"2009-10-01 00:00:00","assembly","74"
"2009-10-01 00:00:00","delphi","255"
"2009-10-01 00:00:00","javascript","2044"
"2009-10-01 00:00:00","c++","1686"
"2009-10-01 00:00:00","java","2505"
"2009-10-01 00:00:00","c#","4724"
"2009-10-01 00:00:00","c","775"
"2009-10-01 00:00:00","python","1421"
"2009-10-01 00:00:00","perl","282"
"2009-10-01 00:00:00","php","2361"
"2009-10-01 00:00:00","r","73"
"2009-10-01 00:00:00","ruby","493"
"2009-10-01 00:00:00","swift","1"
"2009-11-01 00:00:00","delphi","274"
"2009-11-01 00:00:00","python","1557"
"2009-11-01 00:00:00","c#","4683"
"2009-11-01 00:00:00","c","964"
"2009-11-01 00:00:00","javascript","2227"
"2009-11-01 00:00:00","assembly","82"
"2009-11-01 00:00:00","c++","1757"
"2009-11-01 00:00:00","go","65"
"2009-11-01 00:00:00","ruby","654"
"2009-11-01 00:00:00","perl","323"
"2009-11-01 00:00:00","php","2690"
"2009-11-01 00:00:00","java","2760"
"2009-11-01 00:00:00","swift","3"
"2009-11-01 00:00:00","r","94"
"2009-12-01 00:00:00","delphi","282"
"2009-12-01 00:00:00","php","2827"
"2009-12-01 00:00:00","assembly","62"
"2009-12-01 00:00:00","java","2687"
"2009-12-01 00:00:00","python","1589"
"2009-12-01 00:00:00","c#","4488"
"2009-12-01 00:00:00","perl","261"
"2009-12-01 00:00:00","c","851"
"2009-12-01 00:00:00","r","80"
"2009-12-01 00:00:00","go","11"
"2009-12-01 00:00:00","javascript","2304"
"2009-12-01 00:00:00","ruby","573"
"2009-12-01 00:00:00","c++","1655"
"2009-12-01 00:00:00","swift","1"
"2010-01-01 00:00:00","javascript","2622"
"2010-01-01 00:00:00","assembly","101"
"2010-01-01 00:00:00","c++","2000"
"2010-01-01 00:00:00","python","1946"
"2010-01-01 00:00:00","c#","5112"
"2010-01-01 00:00:00","go","15"
"2010-01-01 00:00:00","c","981"
"2010-01-01 00:00:00","delphi","303"
"2010-01-01 00:00:00","java","3727"
"2010-01-01 00:00:00","perl","302"
"2010-01-01 00:00:00","ruby","684"
"2010-01-01 00:00:00","php","3436"
"2010-01-01 00:00:00","r","94"
"2010-02-01 00:00:00","assembly","69"
"2010-02-01 00:00:00","c","1036"
"2010-02-01 00:00:00","delphi","283"
"2010-02-01 00:00:00","c#","5100"
"2010-02-01 00:00:00","perl","348"
"2010-02-01 00:00:00","java","3576"
"2010-02-01 00:00:00","go","7"
"2010-02-01 00:00:00","javascript","2639"
"2010-02-01 00:00:00","php","3166"
"2010-02-01 00:00:00","r","122"
"2010-02-01 00:00:00","c++","2277"
"2010-02-01 00:00:00","python","1863"
"2010-02-01 00:00:00","swift","2"
"2010-02-01 00:00:00","ruby","688"
"2010-03-01 00:00:00","assembly","123"
"2010-03-01 00:00:00","javascript","2987"
"2010-03-01 00:00:00","go","8"
"2010-03-01 00:00:00","python","2072"
"2010-03-01 00:00:00","delphi","318"
"2010-03-01 00:00:00","c++","2437"
"2010-03-01 00:00:00","c","1115"
"2010-03-01 00:00:00","c#","6035"
"2010-03-01 00:00:00","java","4444"
"2010-03-01 00:00:00","php","3750"
"2010-03-01 00:00:00","perl","392"
"2010-03-01 00:00:00","ruby","695"
"2010-03-01 00:00:00","r","139"
"2010-03-01 00:00:00","swift","1"
"2010-04-01 00:00:00","c","1185"
"2010-04-01 00:00:00","javascript","3005"
"2010-04-01 00:00:00","python","1814"
"2010-04-01 00:00:00","delphi","271"
"2010-04-01 00:00:00","assembly","124"
"2010-04-01 00:00:00","c#","5784"
"2010-04-01 00:00:00","ruby","753"
"2010-04-01 00:00:00","php","3648"
"2010-04-01 00:00:00","java","3888"
"2010-04-01 00:00:00","go","10"
"2010-04-01 00:00:00","swift","2"
"2010-04-01 00:00:00","c++","2491"
"2010-04-01 00:00:00","r","160"
"2010-04-01 00:00:00","perl","365"
"2010-05-01 00:00:00","java","4173"
"2010-05-01 00:00:00","assembly","108"
"2010-05-01 00:00:00","c++","2421"
"2010-05-01 00:00:00","delphi","280"
"2010-05-01 00:00:00","javascript","3229"
"2010-05-01 00:00:00","perl","286"
"2010-05-01 00:00:00","c","1181"
"2010-05-01 00:00:00","c#","5933"
"2010-05-01 00:00:00","r","139"
"2010-05-01 00:00:00","php","3994"
"2010-05-01 00:00:00","ruby","776"
"2010-05-01 00:00:00","go","17"
"2010-05-01 00:00:00","swift","1"
"2010-05-01 00:00:00","python","2008"
"2010-06-01 00:00:00","assembly","91"
"2010-06-01 00:00:00","java","4284"
"2010-06-01 00:00:00","c#","6148"
"2010-06-01 00:00:00","javascript","3470"
"2010-06-01 00:00:00","delphi","329"
"2010-06-01 00:00:00","c","1154"
"2010-06-01 00:00:00","go","15"
"2010-06-01 00:00:00","c++","2823"
"2010-06-01 00:00:00","php","4093"
"2010-06-01 00:00:00","perl","409"
"2010-06-01 00:00:00","ruby","853"
"2010-06-01 00:00:00","python","2206"
"2010-06-01 00:00:00","swift","2"
"2010-06-01 00:00:00","r","176"
"2010-07-01 00:00:00","c","1287"
"2010-07-01 00:00:00","c#","6683"
"2010-07-01 00:00:00","php","4605"
"2010-07-01 00:00:00","delphi","334"
"2010-07-01 00:00:00","java","4519"
"2010-07-01 00:00:00","javascript","3877"
"2010-07-01 00:00:00","assembly","97"
"2010-07-01 00:00:00","go","8"
"2010-07-01 00:00:00","r","234"
"2010-07-01 00:00:00","c++","2687"
"2010-07-01 00:00:00","perl","435"
"2010-07-01 00:00:00","python","2595"
"2010-07-01 00:00:00","swift","1"
"2010-07-01 00:00:00","ruby","912"
"2010-08-01 00:00:00","javascript","4000"
"2010-08-01 00:00:00","java","4709"
"2010-08-01 00:00:00","c#","6964"
"2010-08-01 00:00:00","go","13"
"2010-08-01 00:00:00","php","5141"
"2010-08-01 00:00:00","assembly","86"
"2010-08-01 00:00:00","c++","2637"
"2010-08-01 00:00:00","c","1367"
"2010-08-01 00:00:00","ruby","995"
"2010-08-01 00:00:00","perl","548"
"2010-08-01 00:00:00","swift","2"
"2010-08-01 00:00:00","r","283"
"2010-08-01 00:00:00","python","2492"
"2010-08-01 00:00:00","delphi","354"
"2010-09-01 00:00:00","assembly","117"
"2010-09-01 00:00:00","javascript","3995"
"2010-09-01 00:00:00","java","4719"
"2010-09-01 00:00:00","python","2249"
"2010-09-01 00:00:00","delphi","319"
"2010-09-01 00:00:00","c++","2738"
"2010-09-01 00:00:00","c","1378"
"2010-09-01 00:00:00","c#","6406"
"2010-09-01 00:00:00","perl","460"
"2010-09-01 00:00:00","php","4697"
"2010-09-01 00:00:00","go","9"
"2010-09-01 00:00:00","ruby","936"
"2010-09-01 00:00:00","r","236"
"2010-09-01 00:00:00","swift","2"
"2010-10-01 00:00:00","javascript","4114"
"2010-10-01 00:00:00","delphi","361"
"2010-10-01 00:00:00","c","1444"
"2010-10-01 00:00:00","assembly","123"
"2010-10-01 00:00:00","c#","6740"
"2010-10-01 00:00:00","python","2672"
"2010-10-01 00:00:00","go","13"
"2010-10-01 00:00:00","perl","499"
"2010-10-01 00:00:00","php","4518"
"2010-10-01 00:00:00","java","5027"
"2010-10-01 00:00:00","c++","2934"
"2010-10-01 00:00:00","r","214"
"2010-10-01 00:00:00","ruby","926"
"2010-10-01 00:00:00","swift","1"
"2010-11-01 00:00:00","java","5599"
"2010-11-01 00:00:00","assembly","165"
"2010-11-01 00:00:00","c","1676"
"2010-11-01 00:00:00","delphi","390"
"2010-11-01 00:00:00","javascript","4547"
"2010-11-01 00:00:00","perl","465"
"2010-11-01 00:00:00","c++","3375"
"2010-11-01 00:00:00","c#","7317"
"2010-11-01 00:00:00","r","242"
"2010-11-01 00:00:00","php","5114"
"2010-11-01 00:00:00","ruby","929"
"2010-11-01 00:00:00","go","16"
"2010-11-01 00:00:00","swift","1"
"2010-11-01 00:00:00","python","2606"
"2010-12-01 00:00:00","c#","7112"
"2010-12-01 00:00:00","c++","3138"
"2010-12-01 00:00:00","python","2483"
"2010-12-01 00:00:00","assembly","126"
"2010-12-01 00:00:00","java","5679"
"2010-12-01 00:00:00","c","1469"
